0;735;125;735;1;1;
125;735;125;850;1;2;
125;735;165;735;1;2;
165;735;650;735;1;1;
0;675;125;675;1;3;
125;675;125;625;1;3;
125;625;125;440;1;2;
125;440;425;440;1;2;
425;440;425;625;1;2;
125;670;250;670;1;1;
300;670;425;670;1;1;
425;625;425;675;1;3;
425;675;650;675;1;3;
125;550;250;550;1;1;
300;550;425;550;1;1;
250;440;250;670;1;2;
300;440;300;670;1;2;
650;675;650;620;1;2;
650;735;650;850;1;2;
205;735;205;850;1;1;
280;735;280;850;1;1;
350;735;350;850;1;1;
425;735;425;850;1;1;
500;735;500;850;1;1;
575;735;575;850;1;1;
725;735;725;850;1;1;
800;735;800;850;1;1;
850;735;850;850;1;1;
650;735;850;735;1;1;
650;620;730;620;1;2;
730;620;730;675;1;1;
730;650;850;650;1;1;
650;675;850;675;1;1;
850;675;850;150;1;1;
730;620;730;180;1;2;
730;180;850;180;1;2;
905;850;905;200;1;1;
850;200;905;200;1;1;
905;250;999;250;1;2;
730;585;850;585;1;1;
730;480;850;480;1;1;
730;405;850;405;1;1;
730;330;850;330;1;1;
730;255;850;255;1;1;
905;325;999;325;1;1;
905;400;999;400;1;1;
905;475;999;475;1;1;
905;550;999;550;1;1;
905;625;999;625;1;1;
905;700;999;700;1;1;
905;750;999;750;1;1;



























